UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Knut Svanholm,@knutsvanholm,2022-02-21T22:36:26.000Z,"Knut Svanholm
@knutsvanholm
·
Feb 21","Canadians, and everyone else for that matter!

Your money in the bank is not yours
It's not even money to begin with

You have one option and one option only

Adapt now, while you still have the chance
#Bitcoin
Dr Jordan B Peterson
@jordanbpeterson
 · Feb 21
Trudeau Government Moves to Make Expanded Surveillance Powers over Financial Transactions ""Permanent' https://nationalreview.com/corner/trudeau-government-moves-to-make-expanded-surveillance-powers-over-financial-transactions-permanent/…
4
7
50",,4,7,50,['https://pbs.twimg.com/profile_images/1407056014776614923/TKBC60e1_normal.jpg'],https://twitter.com/knutsvanholm/status/1495890184759652357
Lee Ourand,@leeourand,2022-02-21T12:16:02.000Z,"Lee Ourand
@leeourand
·
Feb 21","DHH isn’t the only co-founder I know of who—instead of introspecting a bit after doing something stupid and being criticized by “the left”—became a right-wing apologist and weird bitcoin enthusiast. Bit of a train wreck to observe.
DHH
@dhh
 · Feb 21
""I still can't believe that this is the protest that would prove every Bitcoin crank a prophet. And for me to have to slice a piece of humble pie, and admit that I was wrong on crypto's fundamental necessity in Western democracies."" https://world.hey.com/dhh/i-was-wrong-we-need-crypto-587ccb03…
6
6",,6,,6,['https://pbs.twimg.com/profile_images/975876868455809024/eK7mDppU_normal.jpg'],https://twitter.com/leeourand/status/1495734051851968514
Sergio Valenzuela,@BitcoinSergio,2022-02-21T12:51:12.000Z,"Sergio Valenzuela
@BitcoinSergio
·
Feb 21","Replying to 
@QCryptogirl
 and 
@CAPITALRADIOB
moon
2",,,,2,[],https://twitter.com/BitcoinSergio/status/1495742903385272326
avalBit,@avalBit,2022-02-21T20:30:04.000Z,"avalBit
@avalBit
·
Feb 21","Bitcoin Bill Introduced to Allow Californians to Pay State Services With Crypto
fool.com
Bitcoin Bill Introduced to Allow Californians to Pay State Services With Crypto
California takes its first step toward accepting Bitcoin as payment for state taxes and fees as a state lawmaker introduces a new Bitcoin bill.",,,,,['https://pbs.twimg.com/card_img/1498344757524840455/DPslhvr-?format=jpg&name=medium'],https://twitter.com/avalBit/status/1495858379452997633
David Zaera,@monsieurdeivid,2022-02-21T09:28:10.000Z,"David Zaera
@monsieurdeivid
·
Feb 21","Replying to 
@dinerobolsa
Bitcoin y esperar. 
@RemindMe_OfThis
 in 4 years
1",,1,,,[],https://twitter.com/monsieurdeivid/status/1495691808579407876
Knut Svanholm,@knutsvanholm,2022-02-22T07:37:19.000Z,"Knut Svanholm
@knutsvanholm
·
Feb 22","E equals mc squared. 

If you add up all the energy consumed since bitcoin's inception and divide it by 21 million, you get about 37 Giga Joules. That's the equivalent of 0.415 micrograms per bitcoin. 

In other words, bitcoins cost around $90M per kilogram.
@C_Bendiksen
8
14
76",,8,14,76,[],https://twitter.com/knutsvanholm/status/1496026302188556292
Jaco₿,@Jacobomedrano_,2022-02-22T09:52:37.000Z,"Jaco₿
@Jacobomedrano_
·
Feb 22","How am I not going to be bullish??? #Bitcoin
1
1",,1,,1,"['https://pbs.twimg.com/media/FMMS8-1WUAYfBXN?format=jpg&name=900x900', 'https://pbs.twimg.com/media/FMMS8-1XwAYyOtw?format=jpg&name=small']",https://twitter.com/Jacobomedrano_/status/1496060348780191748
Andrés,@andresancap,2022-02-22T19:24:33.000Z,"Andrés
@andresancap
·
Feb 22","Replying to 
@SportyWalter
 and 
@aantonop
Without a central bank in Bitcoin to cover those exchanges, the risk of doing a sort of fractional reserve is too high for them to even try.

At the end, BTC is BTC and no BTC can be created by anyone except by the miners in a known and limited quantity.
3",⚡ 🐍,,,3,[],https://twitter.com/andresancap/status/1496204281136963585
Knut Svanholm,@knutsvanholm,2022-02-22T07:43:28.000Z,"Knut Svanholm
@knutsvanholm
·
Feb 22","""You can't do anything but vote""

That's it, Mr. Trudeau.
That is the problem.

Pssst, you can opt-out with #Bitcoin too
Justin Trudeau
@JustinTrudeau
Officiel du gouvernement - Canada
 · Feb 21
There’s no doubt the past few weeks have been difficult, that the past few years have been painful, or that there are still challenges we’ll have to face. But we cannot allow anger to divide us. Now is the time to work together – and to start healing as a nation.
6
4
43",,6,4,43,"['https://pbs.twimg.com/profile_images/1426938479909421056/QpI3TSNn_normal.jpg', 'https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FMKYYdQWQAY_Y4z.jpg']",https://twitter.com/knutsvanholm/status/1496027847357571076
devbarnyard.eth,@devbarnyard,2022-02-22T15:24:03.000Z,"devbarnyard.eth
@devbarnyard
·
Feb 22","The 
@NetworkUmbria
 bridge just bridged $ETH from 
@ethereum
 mainnet to 
@FantomFDN
 for the first time.

Total cost: $5.40
Total time: 1 minute 28 seconds

10x cheaper and 10x faster always 
2
10
23",💨,2,10,23,[],https://twitter.com/devbarnyard/status/1496143759351992323
